date,voucher_id,reference,debit,credit,narration
2024-04-09,RCT-00986,UTR5305,42183.82,,Receipt Customer 019 Retail
2024-04-15,RCT-01057,UTR5376,143164.68,,Receipt Customer 004 Retail
2024-04-16,PMT-00837,NEFT5156,,211427.68,Payment Divya Safety Equipments
2024-04-16,PMT-00872,NEFT5191,,4283.40,Payment Ganga Traders
2024-04-22,PMT-00723,NEFT5042,,143414.84,Payment Kaveri Transport Co
2024-04-25,RCT-00940,UTR5259,84871.50,,Receipt Customer 011 Retail
2024-04-25,RCT-00956,UTR5275,352004.62,,Receipt Customer 027 Retail
2024-04-27,RCT-00970,UTR5289,312049.82,,Receipt Customer 017 Retail
2024-04-27,RCT-00982,UTR5301,202862.06,,Receipt Customer 018 Retail
2024-04-28,PMT-00830,NEFT5149,,66251.10,Payment Orient Glass House
2024-04-28,PMT-00854,NEFT5173,,94992.36,Payment Indus Metal Works
2024-04-28,RCT-00911,UTR5230,371645.72,,Receipt Customer 024 Retail
2024-05-01,PMT-00841,NEFT5160,,2093.32,Payment Deccan Logistics
2024-05-02,RCT-01046,UTR5365,108510.44,,Receipt Customer 014 Retail
2024-05-03,PMT-00696,NEFT5015,,231950.24,Payment National Weighbridge
2024-05-06,PMT-00851,NEFT5170,,97112.82,Payment Ganga Traders
2024-05-06,PMT-00871,NEFT5190,,173871.82,Payment Hitech Instruments
2024-05-07,RCT-01061,UTR5380,346881.06,,Receipt Customer 026 Retail
2024-05-08,PMT-00740,NEFT5059,,280252.36,Payment Chennai Polymers Pvt Ltd
2024-05-09,RCT-01095,UTR5414,287536.50,,Receipt Customer 027 Retail
2024-05-09,RCT-01136,UTR5455,373366.16,,Receipt Customer 023 Retail
2024-05-10,PMT-00720,NEFT5039,,92608.76,Payment Yamuna Enterprises
2024-05-11,RCT-01123,UTR5442,54038.10,,Receipt Customer 023 Retail
2024-05-12,RCT-00889,UTR5208,330395.28,,Receipt Customer 017 Retail
2024-05-12,RCT-01129,UTR5448,401423.02,,Receipt Customer 011 Retail
2024-05-13,RCT-00919,UTR5238,229108.80,,Receipt Customer 002 Retail
2024-05-14,PMT-00834,NEFT5153,,192564.20,Payment Crescent Ceramics
2024-05-15,PMT-00800,NEFT5119,,204859.80,Payment Shree Ram Traders
2024-05-16,PMT-00816,NEFT5135,,282858.98,Payment Deccan Logistics
