date,narration,reference,debit,credit,balance
2024-04-11,UPI/NEFT CR UTR5305 CUSTOMER 019 RETAI,UTR5305,,42183.82,5042183.82
2024-04-16,NEFT DR NEFT5156 DIVYA SAFETY EQUIP,NEFT5156,211427.68,,4830756.14
2024-04-17,UPI/NEFT CR UTR5376 CUSTOMER 004 RETAI,UTR5376,,143164.68,4973920.82
2024-04-18,NEFT DR NEFT5191 GANGA TRADERS,NEFT5191,4283.40,,4969637.42
2024-04-24,NEFT DR NEFT5042 KAVERI TRANSPORT C,NEFT5042,143414.84,,4826222.58
2024-04-25,UPI/NEFT CR UTR5275 CUSTOMER 027 RETAI,UTR5275,,352004.62,5178227.20
2024-04-27,UPI/NEFT CR UTR5259 CUSTOMER 011 RETAI,UTR5259,,84871.50,5263098.70
2024-04-28,UPI/NEFT CR UTR5301 CUSTOMER 018 RETAI,UTR5301,,202862.06,5465960.76
2024-04-29,UPI/NEFT CR UTR5289 CUSTOMER 017 RETAI,UTR5289,,312049.82,5778010.58
2024-04-30,NEFT DR NEFT5149 ORIENT GLASS HOUSE,NEFT5149,66251.10,,5711759.48
2024-04-30,NEFT DR NEFT5173 INDUS METAL WORKS,NEFT5173,94992.36,,5616767.12
2024-04-30,UPI/NEFT CR UTR5230 CUSTOMER 024 RETAI,UTR5230,,371645.72,5988412.84
2024-05-03,NEFT DR NEFT5160 DECCAN LOGISTICS,NEFT5160,2093.32,,5986319.52
2024-05-04,UPI/NEFT CR UTR5365 CUSTOMER 014 RETAI,UTR5365,,108510.44,6094829.96
2024-05-05,NEFT DR NEFT5015 NATIONAL WEIGHBRID,NEFT5015,231950.24,,5862879.72
2024-05-06,NEFT DR NEFT5190 HITECH INSTRUMENTS,NEFT5190,173871.82,,5689007.90
2024-05-08,NEFT DR NEFT5170 GANGA TRADERS,NEFT5170,97112.82,,5591895.08
2024-05-09,UPI/NEFT CR UTR5380 CUSTOMER 026 RETAI,UTR5380,,346881.06,5938776.14
