voucher_id,voucher_type,txn_date,created_at,account_code,account_name,debit,credit,narration,source,user_id,reversal_of
PUR-00001,Purchase,2024-06-10,2024-06-10 10:10,5401,Professional Fees,158208.00,,Being goods/services from Anand Auto Parts inv SI028/2000,PurchaseModule,ACCT-1,
PUR-00001,Purchase,2024-06-10,2024-06-10 10:10,2301,GST Input Credit,28477.44,,GST input on SI028/2000,PurchaseModule,ACCT-1,
PUR-00001,Purchase,2024-06-10,2024-06-10 10:10,2101,Sundry Creditors,,186685.44,Anand Auto Parts inv SI028/2000,PurchaseModule,ACCT-1,
PUR-00002,Purchase,2024-08-23,2024-08-24 10:28,5401,Professional Fees,12337.00,,Being goods/services from Jyoti Electrodes inv SI037/2001,PurchaseModule,ACCT-2,
PUR-00002,Purchase,2024-08-23,2024-08-24 10:28,2301,GST Input Credit,2220.66,,GST input on SI037/2001,PurchaseModule,ACCT-2,
PUR-00002,Purchase,2024-08-23,2024-08-24 10:28,2101,Sundry Creditors,,14557.66,Jyoti Electrodes inv SI037/2001,PurchaseModule,ACCT-2,
PUR-00003,Purchase,2024-08-07,2024-08-08 17:25,5001,Purchases - Trading Goods,108817.00,,Being goods/services from Falcon Security Services inv SI033/2002,PurchaseModule,ACCT-3,
PUR-00003,Purchase,2024-08-07,2024-08-08 17:25,2301,GST Input Credit,19587.06,,GST input on SI033/2002,PurchaseModule,ACCT-3,
PUR-00003,Purchase,2024-08-07,2024-08-08 17:25,2101,Sundry Creditors,,128404.06,Falcon Security Services inv SI033/2002,PurchaseModule,ACCT-3,
PUR-00004,Purchase,2025-02-04,2025-02-04 16:12,5301,Repairs & Maintenance,96949.00,,Being goods/services from Shree Ram Traders inv SI014/2003,PurchaseModule,ACCT-2,
PUR-00004,Purchase,2025-02-04,2025-02-04 16:12,2301,GST Input Credit,17450.82,,GST input on SI014/2003,PurchaseModule,ACCT-2,
PUR-00004,Purchase,2025-02-04,2025-02-04 16:12,2101,Sundry Creditors,,114399.82,Shree Ram Traders inv SI014/2003,PurchaseModule,ACCT-2,
PUR-00005,Purchase,2024-10-30,2024-10-31 16:27,5201,Rent Expense,186877.00,,Being goods/services from Omkar Engineering inv SI016/2004,PurchaseModule,ACCT-3,
PUR-00005,Purchase,2024-10-30,2024-10-31 16:27,2301,GST Input Credit,33637.86,,GST input on SI016/2004,PurchaseModule,ACCT-3,
PUR-00005,Purchase,2024-10-30,2024-10-31 16:27,2101,Sundry Creditors,,220514.86,Omkar Engineering inv SI016/2004,PurchaseModule,ACCT-3,
PUR-00006,Purchase,2024-09-18,2024-09-18 10:32,5201,Rent Expense,104669.00,,Being goods/services from National Weighbridge inv SI041/2005,PurchaseModule,ACCT-3,
PUR-00006,Purchase,2024-09-18,2024-09-18 10:32,2301,GST Input Credit,18840.42,,GST input on SI041/2005,PurchaseModule,ACCT-3,
PUR-00006,Purchase,2024-09-18,2024-09-18 10:32,2101,Sundry Creditors,,123509.42,National Weighbridge inv SI041/2005,PurchaseModule,ACCT-3,
PUR-00007,Purchase,2024-11-22,2024-11-23 15:26,5401,Professional Fees,188459.00,,Being goods/services from Balaji Packaging Co inv SI002/2006,PurchaseModule,ACCT-3,
