supplier_gstin,supplier_name,invoice_no,invoice_date,taxable_value,tax_amount,filing_status
24ZZ1028A1Z6,Anand Auto Parts,SI028/2000,2024-06-10,158208.00,28477.44,Filed
29ZZ1037A1Z9,Jyoti Electrodes,SI037/2001,2024-08-23,12337.00,2220.66,Filed
07ZZ1033A1Z1,Falcon Security Services,SI033/2002,2024-08-07,108817.00,19587.06,Filed
33ZZ1014A1Z8,Shree Ram Traders,SI014/2003,2025-02-04,96949.00,17450.82,Filed
24ZZ1016A1Z2,Omkar Engineering,SI016/2004,2024-10-30,186877.00,33637.86,Filed
36ZZ1041A1Z7,National Weighbridge,SI041/2005,2024-09-18,104669.00,18840.42,Filed
33ZZ1002A1Z4,Balaji Packaging Co,SI002/2006,2024-11-22,188459.00,33922.62,Filed
24ZZ1010A1Z0,Jaipur Textiles House,SI010/2007,2024-04-08,28430.00,5117.40,Filed
07ZZ1027A1Z9,Zenith Abrasives,SI027/2008,2024-11-24,48037.00,8646.66,Filed
07ZZ1045A1Z5,Silverline Pipes,SI045/2009,2025-03-05,211959.00,38152.62,Filed
29ZZ1043A1Z1,Prakash Machinery,SI043/2010,2024-08-14,53102.00,9558.36,Filed
36ZZ1011A1Z7,Kaveri Transport Co,SI011/2011,2024-08-22,65102.00,11718.36,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2013,2024-05-25,8102.00,1458.36,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2014,2024-11-01,72912.00,13124.16,Filed
07ZZ1033A1Z1,Falcon Security Services,SI033/2015,2024-08-06,74428.00,13397.04,Filed
24ZZ1022A1Z4,Universal Bearings,SI022/2016,2024-11-12,87960.00,15832.80,Filed
07ZZ1003A1Z1,Chennai Polymers Pvt Ltd,SI003/2017,2024-12-04,202961.00,36532.98,Filed
33ZZ1008A1Z6,Himalaya Papers,SI008/2018,2024-09-19,215201.00,38736.18,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2019,2024-12-24,96752.00,17415.36,Filed
36ZZ1035A1Z5,Hitech Instruments,SI035/2020,2024-09-04,64655.00,11637.90,Filed
36ZZ1041A1Z7,National Weighbridge,SI041/2021,2024-04-07,196568.00,35382.24,Filed
29ZZ1037A1Z9,Jyoti Electrodes,SI037/2022,2024-12-21,68862.00,12395.16,Filed
24ZZ1028A1Z6,Anand Auto Parts,SI028/2023,2025-01-15,109269.00,19668.42,Filed
29ZZ1019A1Z3,Royal Stationers,SI019/2024,2025-02-16,147069.00,26472.42,Filed
29ZZ1007A1Z9,Ganga Traders,SI007/2025,2024-07-15,78482.00,14126.76,Filed
33ZZ1020A1Z0,Sunrise Solvents,SI020/2026,2024-05-17,87296.00,15713.28,Filed
33ZZ1032A1Z4,Everest Scaffolding,SI032/2027,2024-07-14,28559.00,5140.62,Filed
07ZZ1003A1Z1,Chennai Polymers Pvt Ltd,SI003/2028,2024-07-13,230270.00,41448.60,Filed
36ZZ1011A1Z7,Kaveri Transport Co,SI011/2029,2024-11-20,39762.00,7157.16,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2030,2024-09-16,170999.00,30779.82,Filed
07ZZ1045A1Z5,Silverline Pipes,SI045/2031,2025-02-22,184029.00,33125.22,Filed
24ZZ1022A1Z4,Universal Bearings,SI022/2032,2025-02-09,133357.00,24004.26,Filed
24ZZ1016A1Z2,Omkar Engineering,SI016/2033,2024-05-22,147373.00,26527.14,Filed
36ZZ1017A1Z9,Pioneer Plastics,SI017/2034,2024-08-22,63315.00,11396.70,Filed
33ZZ1032A1Z4,Everest Scaffolding,SI032/2035,2025-01-08,74190.00,13354.20,Filed
33ZZ1032A1Z4,Everest Scaffolding,SI032/2036,2024-05-07,150387.00,27069.66,Filed
36ZZ1011A1Z7,Kaveri Transport Co,SI011/2037,2024-06-11,83944.00,15109.92,Filed
07ZZ1021A1Z7,Trident Tools Ltd,SI021/2038,2024-05-22,3484.00,627.12,Filed
24ZZ1028A1Z6,Anand Auto Parts,SI028/2039,2024-07-23,59386.00,10689.48,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2040,2024-06-10,141994.00,25558.92,Filed
