invoice_no,invoice_date,vendor_id,vendor_name,gstin,taxable_value,tax_amount,total,voucher_id
SI028/2000,2024-06-10,V-028,Anand Auto Parts,24ZZ1028A1Z6,158208.00,28477.44,186685.44,PUR-00001
SI037/2001,2024-08-23,V-037,Jyoti Electrodes,29ZZ1037A1Z9,12337.00,2220.66,14557.66,PUR-00002
SI033/2002,2024-08-07,V-033,Falcon Security Services,07ZZ1033A1Z1,108817.00,19587.06,128404.06,PUR-00003
SI014/2003,2025-02-04,V-014,Shree Ram Traders,33ZZ1014A1Z8,96949.00,17450.82,114399.82,PUR-00004
SI016/2004,2024-10-30,V-016,Omkar Engineering,24ZZ1016A1Z2,186877.00,33637.86,220514.86,PUR-00005
SI041/2005,2024-09-18,V-041,National Weighbridge,36ZZ1041A1Z7,104669.00,18840.42,123509.42,PUR-00006
SI002/2006,2024-11-22,V-002,Balaji Packaging Co,33ZZ1002A1Z4,188459.00,33922.62,222381.62,PUR-00007
SI010/2007,2024-04-08,V-010,Jaipur Textiles House,24ZZ1010A1Z0,28430.00,5117.40,33547.40,PUR-00008
SI027/2008,2024-11-24,V-027,Zenith Abrasives,07ZZ1027A1Z9,48037.00,8646.66,56683.66,PUR-00009
SI045/2009,2025-03-05,V-045,Silverline Pipes,07ZZ1045A1Z5,211959.00,38152.62,250111.62,PUR-00010
SI043/2010,2024-08-14,V-043,Prakash Machinery,29ZZ1043A1Z1,53102.00,9558.36,62660.36,PUR-00011
SI011/2011,2024-08-22,V-011,Kaveri Transport Co,36ZZ1011A1Z7,65102.00,11718.36,76820.36,PUR-00012
SI037/2012,2024-05-12,V-037,Jyoti Electrodes,29ZZ1037A1Z9,59251.00,10665.18,69916.18,PUR-00013
SI030/2013,2024-05-25,V-030,Crescent Ceramics,27ZZ1030A1Z0,8102.00,1458.36,9560.36,PUR-00014
SI030/2014,2024-11-01,V-030,Crescent Ceramics,27ZZ1030A1Z0,72912.00,13124.16,86036.16,PUR-00015
SI033/2015,2024-08-06,V-033,Falcon Security Services,07ZZ1033A1Z1,74428.00,13397.04,87825.04,PUR-00016
SI022/2016,2024-11-12,V-022,Universal Bearings,24ZZ1022A1Z4,87960.00,15832.80,103792.80,PUR-00017
SI003/2017,2024-12-04,V-003,Chennai Polymers Pvt Ltd,07ZZ1003A1Z1,202961.00,36532.98,239493.98,PUR-00018
SI008/2018,2024-09-19,V-008,Himalaya Papers,33ZZ1008A1Z6,215201.00,38736.18,253937.18,PUR-00019
SI025/2019,2024-12-24,V-025,Xpress Couriers,29ZZ1025A1Z5,96752.00,17415.36,114167.36,PUR-00020
SI035/2020,2024-09-04,V-035,Hitech Instruments,36ZZ1035A1Z5,64655.00,11637.90,76292.90,PUR-00021
SI041/2021,2024-04-07,V-041,National Weighbridge,36ZZ1041A1Z7,196568.00,35382.24,231950.24,PUR-00022
SI037/2022,2024-12-21,V-037,Jyoti Electrodes,29ZZ1037A1Z9,68862.00,12395.16,81257.16,PUR-00023
SI028/2023,2025-01-15,V-028,Anand Auto Parts,24ZZ1028A1Z6,121410.00,21853.80,143263.80,PUR-00024
SI019/2024,2025-02-16,V-019,Royal Stationers,29ZZ1019A1Z3,147069.00,26472.42,173541.42,PUR-00025
SI007/2025,2024-07-15,V-007,Ganga Traders,29ZZ1007A1Z9,78482.00,14126.76,92608.76,PUR-00026
SI020/2026,2024-05-17,V-020,Sunrise Solvents,33ZZ1020A1Z0,87296.00,15713.28,103009.28,PUR-00027
SI032/2027,2024-07-14,V-032,Everest Scaffolding,33ZZ1032A1Z4,28559.00,5140.62,33699.62,PUR-00028
SI003/2028,2024-07-13,V-003,Chennai Polymers Pvt Ltd,07ZZ1003A1Z1,230270.00,41448.60,271718.60,PUR-00029
SI011/2029,2024-11-20,V-011,Kaveri Transport Co,36ZZ1011A1Z7,39762.00,7157.16,46919.16,PUR-00030
SI025/2030,2024-09-16,V-025,Xpress Couriers,29ZZ1025A1Z5,170999.00,30779.82,201778.82,PUR-00031
SI045/2031,2025-02-22,V-045,Silverline Pipes,07ZZ1045A1Z5,184029.00,33125.22,217154.22,PUR-00032
SI022/2032,2025-02-09,V-022,Universal Bearings,24ZZ1022A1Z4,133357.00,24004.26,157361.26,PUR-00033
SI016/2033,2024-05-22,V-016,Omkar Engineering,24ZZ1016A1Z2,147373.00,26527.14,173900.14,PUR-00034
