account_code,account_name,opening,debit,credit,closing
1101,HDFC Bank - CA 8842,0.00,62210787.42,27886013.86,34324773.56
1201,Sundry Debtors,0.00,86675347.12,62210787.42,24464559.70
2101,Sundry Creditors,0.00,27886013.86,44979999.86,-17093986.00
2301,GST Input Credit,0.00,6427372.86,0.00,6427372.86
2401,GST Output Liability,0.00,0.00,13221663.12,-13221663.12
2501,Provisions & Accruals,0.00,4900000.00,4900000.00,0.00
4001,Sales - Trading Goods,0.00,0.00,73453684.00,-73453684.00
5001,Purchases - Trading Goods,0.00,6972840.00,0.00,6972840.00
5101,Freight & Cartage,0.00,6040187.00,0.00,6040187.00
5201,Rent Expense,0.00,4920893.00,0.00,4920893.00
5301,Repairs & Maintenance,0.00,6484371.00,0.00,6484371.00
5401,Professional Fees,0.00,6544895.00,0.00,6544895.00
5901,Miscellaneous Expenses,0.00,12489441.00,4900000.00,7589441.00
