vendor_id,name,gstin,bank_account,ifsc,created_date,created_by,status
V-001,Agarwal Steel Suppliers,29ZZ1001A1Z7,XXXXXX400137,ICIC0004567,2021-12-05,ACCT-2,Active
V-002,Balaji Packaging Co,33ZZ1002A1Z4,XXXXXX400274,SBIN0007890,2022-11-27,ACCT-3,Active
V-003,Chennai Polymers Pvt Ltd,07ZZ1003A1Z1,XXXXXX400411,UTIB0002345,2023-04-06,ACCT-3,Active
V-004,Deccan Logistics,24ZZ1004A1Z8,XXXXXX400548,KKBK0006789,2022-09-19,ACCT-1,Active
V-005,Eastern Electricals,36ZZ1005A1Z5,XXXXXX400685,HDFC0001234,2022-02-12,ACCT-1,Active
V-006,Fortune Chemicals,27ZZ1006A1Z2,XXXXXX400822,ICIC0004567,2023-10-29,ACCT-3,Active
V-007,Ganga Traders,29ZZ1007A1Z9,XXXXXX400959,SBIN0007890,2023-09-08,ACCT-2,Active
V-008,Himalaya Papers,33ZZ1008A1Z6,XXXXXX401096,UTIB0002345,2022-12-26,ACCT-3,Active
V-009,Indus Metal Works,07ZZ1009A1Z3,XXXXXX401233,KKBK0006789,2023-02-27,ACCT-1,Active
V-010,Jaipur Textiles House,24ZZ1010A1Z0,XXXXXX401370,HDFC0001234,2021-11-22,ACCT-1,Active
V-011,Kaveri Transport Co,36ZZ1011A1Z7,XXXXXX401507,ICIC0004567,2022-01-06,ACCT-2,Active
V-012,Lakshmi Industrial Stores,27ZZ1012A1Z4,XXXXXX401644,SBIN0007890,2023-10-17,ACCT-2,Active
V-013,Madras Hardware Mart,29ZZ1013A1Z1,XXXXXX401781,UTIB0002345,2023-10-28,ACCT-2,Active
V-014,Shree Ram Traders,33ZZ1014A1Z8,XXXXXX401918,KKBK0006789,2023-05-08,ADMIN-1,Active
V-015,Noble Printing Press,07ZZ1015A1Z5,XXXXXX402055,HDFC0001234,2023-06-15,ACCT-2,Active
V-016,Omkar Engineering,24ZZ1016A1Z2,XXXXXX402192,ICIC0004567,2022-11-20,ACCT-3,Active
V-017,Pioneer Plastics,36ZZ1017A1Z9,XXXXXX402329,SBIN0007890,2023-01-15,ACCT-3,Active
V-018,Quality Fasteners,27ZZ1018A1Z6,XXXXXX402466,UTIB0002345,2023-03-19,ACCT-1,Active
V-019,Royal Stationers,29ZZ1019A1Z3,XXXXXX402603,KKBK0006789,2021-10-15,ACCT-3,Active
V-020,Sunrise Solvents,33ZZ1020A1Z0,XXXXXX402740,HDFC0001234,2022-12-08,ACCT-1,Active
V-021,Trident Tools Ltd,07ZZ1021A1Z7,XXXXXX402877,ICIC0004567,2022-10-23,ACCT-3,Active
V-022,Universal Bearings,24ZZ1022A1Z4,XXXXXX403014,SBIN0007890,2023-06-17,ACCT-1,Active
V-023,Venus Adhesives,36ZZ1023A1Z1,XXXXXX403151,UTIB0002345,2023-11-01,ACCT-1,Active
V-024,Western Freight Lines,27ZZ1024A1Z8,XXXXXX403288,KKBK0006789,2023-02-22,ACCT-1,Active
V-025,Xpress Couriers,29ZZ1025A1Z5,XXXXXX403425,HDFC0001234,2022-05-26,ACCT-3,Active
V-026,Yamuna Enterprises,33ZZ1026A1Z2,XXXXXX403562,ICIC0004567,2021-12-02,ACCT-1,Active
V-027,Zenith Abrasives,07ZZ1027A1Z9,XXXXXX403699,SBIN0007890,2023-05-26,ACCT-3,Active
V-028,Anand Auto Parts,24ZZ1028A1Z6,XXXXXX403836,UTIB0002345,2022-05-05,ACCT-2,Active
V-029,Bharat Lubricants,36ZZ1029A1Z3,XXXXXX403973,KKBK0006789,2022-07-10,ACCT-2,Active
V-030,Crescent Ceramics,27ZZ1030A1Z0,XXXXXX404110,HDFC0001234,2021-10-17,ACCT-2,Active
V-031,Divya Safety Equipments,29ZZ1031A1Z7,XXXXXX404247,ICIC0004567,2023-06-22,ACCT-1,Active
V-032,Everest Scaffolding,33ZZ1032A1Z4,XXXXXX404384,SBIN0007890,2023-01-05,ACCT-2,Active
V-033,Falcon Security Services,07ZZ1033A1Z1,XXXXXX404521,UTIB0002345,2022-03-17,ACCT-3,Active
V-034,Green Valley Agro,24ZZ1034A1Z8,XXXXXX404658,KKBK0006789,2023-07-29,ACCT-1,Active
V-035,Hitech Instruments,36ZZ1035A1Z5,XXXXXX404795,HDFC0001234,2022-10-06,ACCT-1,Active
V-036,Imperial Paints,27ZZ1036A1Z2,XXXXXX404932,ICIC0004567,2023-12-23,ACCT-1,Active
V-037,Jyoti Electrodes,29ZZ1037A1Z9,XXXXXX405069,SBIN0007890,2023-03-10,ACCT-3,Active
V-038,Krishna Cement Agency,33ZZ1038A1Z6,XXXXXX405206,UTIB0002345,2021-12-13,ACCT-2,Active
V-039,Liberty Rubber Works,07ZZ1039A1Z3,XXXXXX405343,KKBK0006789,2022-08-26,ACCT-3,Active
V-040,Mount Cables,24ZZ1040A1Z0,XXXXXX405480,HDFC0001234,2022-02-09,ACCT-1,Active
V-041,National Weighbridge,36ZZ1041A1Z7,XXXXXX405617,ICIC0004567,2023-12-30,ACCT-1,Active
V-042,Orient Glass House,27ZZ1042A1Z4,XXXXXX405754,SBIN0007890,2024-02-26,ACCT-1,Active
V-043,Prakash Machinery,29ZZ1043A1Z1,XXXXXX405891,UTIB0002345,2023-08-15,ACCT-2,Active
V-044,Shri Ram Traders,33ZZ1044A1Z8,XXXXXX401918,KKBK0006789,2025-02-10,ADMIN-1,Active
V-045,Silverline Pipes,07ZZ1045A1Z5,XXXXXX406165,HDFC0001234,2023-11-26,ACCT-1,Active
